Pablo,Herrera,18.345.678-8,2024-10-01,TAE,190000
María,Pérez,18.234.567-6,2024-10-02,TCT,145000
Ana,Muñoz,17.654.321-K,2024-10-03,Cupon electronico,80000
Cristóbal,Guzmán,15.456.789-9,2024-10-04,TAE,175000
Jorge,Araya,16.567.890-0,2024-10-05,TCT,155000
José,Rojas,14.987.654-3,2024-10-06,Cupon electronico,90000
Carolina,López,14.567.890-9,2024-10-07,TAE,195000
Diego,Silva,15.678.901-7,2024-10-08,TCT,135000
Vicente,Campos,17.678.901-1,2024-10-09,Cupon electronico,85000
Matías,González,15.432.876-2,2024-10-10,TAE,180000
Francisca,Rivas,15.789.012-2,2024-10-11,TCT,140000
Pedro,Valdés,13.876.543-5,2024-10-12,Cupon electronico,70000
Daniela,Sepúlveda,18.890.123-3,2024-10-13,TAE,200000
Valentina,Castro,16.789.012-8,2024-10-14,TCT,150000
Benjamín,Cortés,14.901.234-4,2024-10-15,Cupon electronico,95000
Catalina,Soto,16.543.218-4,2024-10-16,TAE,185000
