Nombre,Apellido,RUT,Fecha_Compra,Producto,Monto
Ximena,Werner,16.890.901-6,2024-08-28,Cupon electronico,85000
Yolanda,Yáñez,17.234.567-7,2024-08-28,TAE,187000
Zacarías,Zelada,14.567.890-8,2024-08-29,TCT,150000
Antonio,Aravena,15.901.234-5,2024-08-29,Cupon electronico,84000
Beatriz,Bustos,16.567.890-6,2024-08-29,TAE,194000
César,Cabrera,17.234.567-7,2024-08-30,TCT,147000
Daniela,Navarro,15.345.678-2,2024-08-30,Cupon electronico,88000
Eduardo,Escalona,16.890.234-8,2024-08-30,TAE,191000
Fernanda,Ruiz,14.567.891-0,2024-08-31,TCT,153000
Gustavo,González,15.234.567-9,2024-08-31,Cupon electronico,81000
Horacio,Herrera,16.789.890-0,2024-08-31,TAE,196000
